Nom_du_service,Ministere,Echelon,Perimetre_ministeriel
Administration centrale,Ministère de la Transition écologique et de la Cohésion des Territoires,,Logement
Administration centrale,Ministère de la Transition écologique et de la Cohésion des Territoires,,Mer et Biodiversité
Administration centrale,Ministère de l'Intérieur,,Outre-Mer
Administration centrale,Premier Ministre,,Premier Ministre
Administration centrale,Premier Ministre,,Renouveau Démocratique
Administration centrale,"Ministère du Travail, de la Santé et des Solidarités",,Santé
Administration centrale,"Ministère du Travail, de la Santé et des Solidarités",,Solidarité
Administration centrale,"Ministère des Sports, de la Jeunesse et de la Vie Associative",,Sports
Administration centrale,Ministère de la Transition écologique et de la Cohésion des Territoires,,Transition Écologique
Administration centrale,"Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique",,Industrie et Énergie
Administration centrale,Ministère de la Transition écologique et de la Cohésion des Territoires,,Transports
Administration centrale,"Ministère du Travail, de la Santé et des Solidarités",,"""Travail, Emploi"""
Administration centrale,"Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique",,Numérique et IA
Administration centrale,"Ministère des Sports, de la Jeunesse et de la Vie Associative",,Jeunesse
